Time,Event_length,Y89Di,Pd102Di,Viability,Pd104Di,Pd105Di,Pd106Di,Pd108Di,Pd110Di,CD57,In115Di,I127Di,Xe131Di,Cs133Di,Ba138Di,Ce140Di,CD28,CD19,Ce142Di,CD45RA,CD103,CD4,CD8,Perforin,CD16,CD127,CD1c,CD123,CD66b,PD_1,ICOS,CD27,CCR5,Bcl6,Tcf1,CD14,CD56,Dy162Di,CXCR5,CD69,41BB,CD25,CCR7,CD3,Tbet,CD38,CD95,LAG3,CXCR4,HLADR,TIGIT,Lu176Di,GranzymeB,Ta181Di,Os189Di,DNA,Osmium,DNA,CD45_194,CD45_195,CD45_196,CD45_198,Bi209Di,bc_separation_dist,mahalanobis_dist,File Identifier
800.169006,28.0,.0,.0,6.34154367,.0,.0,.0,.90586489,.0,16.916851,.55082363,.0,.0,.0,8.03575611,.0,12.1365871,.0,.0,6.95536327,2.77324462,1.63120604,452.779663,.21592855,6.61388254,11.9135132,2.73057675,.0,.0,.0,7.6150856,1.05001783,170.129913,28.7428665,1.87571645,3.02503467,.0,14.3318243,2.13990545,6.16817236,1.50250959,3.58483577,.0,111.038811,5.09490967,.36965814,11.7082567,1.70788908,1.05386698,.08867149,.0,.59404582,.41025391,2.41276884,55.679512,483.876068,140.739746,750.120728,120.748734,16.8829308,126.574799,5.35212183,.0,.49544272,1.26221859,.99073589
838.802002,28.0,.0,.0,5.51580334,.0,.0,.0,.0,.0,154.160156,15.9964838,.0,.89422262,.0,5.13420486,.0,.59218818,.0,.0,30.0965958,2.39633512,.0,27.4267311,2.16704297,.0,.0,.0,.0,.0,.0,.0,.0,.0,29.4433842,.51394832,.88866758,.0,.0,.0,8.80603886,.0,.82813108,4.30033827,163.591125,15.7056198,5.02911854,12.390954,.0,10.3202572,.0,1.31068826,108.626312,108.170563,2.19510651,26.2332878,434.202484,126.230072,777.250427,70.027153,4.93517637,46.0312119,.32344767,.07094596,.46006331,.75584227,.97418571
1584.25806,29.0,.0,.0,6.44024992,.0,.0,.0,.0,.0,185.375702,23.8227139,2.08197474,.0,.0,5.55599213,.1465093,2.35088205,9.16011906,9.24322224,18.8854828,.91142571,.0,130.827866,.0,.68905938,.28798899,.0,.0,.0,1.68079388,4.88272285,45.8717613,95.7688293,24.9420643,.0,.76323795,6.68396616,1.6717099,.0,.0,1.00517881,.0,.0,76.0301514,.0,1.48710907,25.3827858,2.44252801,5.32198191,13.6684446,1.47576451,9.62338924,10.3035736,.0,62.7536774,484.969635,197.577698,860.355103,182.860138,8.3377533,112.406067,2.89154816,.0,.61719018,1.64583266,1.093364
2239.06201,36.0,.0,.0,7.63035536,.0,.0,.0,.0,.0,.0,.0,.64529938,.0,.0,3.03588009,.0,12.0038719,6.12567234,6.92560005,3.26976371,.0,.68494153,238.542084,.0,2.72000933,57.3170853,7.96389723,.95312917,.0,.0,.0,19.3551483,6.79745483,50.6137314,2.45091915,1.17768693,1.36210072,3.83645415,.0,7.6557374,.0,.0,3.45542431,147.742264,9.35337734,.0,13.1587486,1.09856105,.0,5.47207737,.0,6.68657398,7.07218456,.0,73.8311005,397.583344,171.189987,650.221985,75.074295,5.78551817,50.0288277,.83408999,.0,.46178883,.61158544,.93581909
7211.37988,27.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.83530754,.0,.0,9.47162914,.0,.0,4.51538754,3.62596154,11.9610147,.0,.0,80.567627,.0,.97420704,.0,.75824034,1.96033478,2.64573932,28.9457664,.0,.0,1.96753824,68.6573334,.0,4.03682852,1.71455789,4.43146467,.0,4.46531534,.0,1.00104582,1.39366758,194.952271,21.1994133,.0,1.35049093,1.36598563,.06396433,19.9741554,1.99312365,.57213944,.49608397,.0,57.4882507,438.032196,100.55603,747.742004,110.770409,7.75001955,99.1069336,1.32667065,.0,.59634703,1.15784454,.99296415
10331.9531,26.0,.0,.0,3.16042066,.0,.0,.0,.0,.0,40.4921875,6.94804716,3.74067903,.74317908,.0,7.4131031,.0,3.40760469,.53987116,.45647418,4.92186832,.0,.0,81.1652756,6.04353428,.0,49.9506035,.0,.49706146,1.22132182,9.86506844,3.17525721,23.6400986,69.7197952,105.767708,1.16880679,.0,.77366811,.0,.0,4.12081289,.0,.33909079,3.64202166,92.1227341,61.6511383,.0,23.2067528,.93651414,14.6026258,1.83730781,17.5395718,71.8805313,72.179039,1.45376706,48.0056229,526.859131,187.056427,991.231995,223.021439,7.09157705,149.497086,4.12573767,.0,.71752393,2.42618251,.99127787
13370.1172,52.0,.19167586,.0,4.0947814,.0,.0,.0,.0,.0,176.481689,18.3947811,2.8261745,5.70869637,.0,8.82307529,.0,.0,.15650906,.72296292,18.6105423,1.55313623,1.53286624,70.6394501,.0,.0,4.02634859,.0,1.32663536,.0,4.20798349,1.75459433,4.60525417,8.66030216,25.705471,.0,.0,.0,5.76386404,.0,1.13912129,3.05277562,.6899845,.0,60.1924095,18.7700577,.0,5.60555506,.0,.92480987,5.59125614,.0,32.9710426,32.9813118,.0,50.4545937,470.256592,145.135361,749.128479,98.8918304,5.81942225,94.2860565,1.73793542,.0,.62520427,1.60788894,.96244019
14771.9658,31.0,.0,.0,.33781284,.0,.0,.0,.0,.0,84.9311371,7.75689268,2.32272243,.0,.0,19.6034756,.0,.0,.09605196,.34194204,21.1585751,.0,.0,99.4732666,.0,.0,2.68106294,.0,.0,.0,.0,.0,16.0103798,16.5956078,7.10949135,.79946738,6.67433977,.0,3.46892238,.0,.0,.0,.0,.8566882,169.182632,.09067131,1.89646363,12.7721024,.0,3.26843739,4.39362764,7.23618174,.0,.0,.0,69.683548,466.031952,160.119263,863.906799,165.094376,5.1103611,136.122894,2.20495653,.75898433,.73733068,2.57905412,1.0305506
15502.7734,33.0,.0,.0,22.1657104,.0,.0,.0,.0,.0,108.073875,.32522586,1.43101823,.0,.0,10.0231276,.0,.0,.0,.0,3.92514992,.56292784,.0,70.9036102,.0,1.13366258,12.5995083,.0,1.59708357,.0,.97562671,.0,26.1619682,12.8983297,66.7612991,1.72695124,.0,.0,.0,.0,1.51526213,.0,.0,4.52244949,104.249611,16.026104,.44343138,9.68784809,1.14907408,7.79897451,14.0149441,14.2235613,53.9661522,54.1135445,3.16012692,54.200325,390.357269,186.692017,775.743896,148.865417,10.5388365,101.773811,.0,.0,.54931688,1.52798545,1.05226386
16623.2676,32.0,.0,.0,12.7545424,.0,.0,.0,.0,.0,202.686035,24.3590794,1.69680727,.0,.0,14.7838593,3.18512464,.0,.0,.0,30.8746109,1.98741674,3.07683396,89.7150726,2.53333592,.0,34.3371735,.6035381,.0,2.31945944,.0,5.69205141,.0,15.036664,63.4205132,1.74456787,3.03108025,19.2961082,.0,3.04200649,1.38074636,.0,2.4078064,2.39146352,139.945175,31.8113613,.0,10.5844755,.0,28.9669762,3.70589638,8.50781631,43.8560829,43.6819,.77447212,67.9001541,374.909485,165.970169,739.49054,129.737839,25.0162983,108.647141,.0,.0,.37540871,3.28562784,.94868439
19770.8594,31.0,.0,.0,3.55676532,.0,.0,.0,.0,.0,112.256508,6.15044355,.0,1.3417635,.0,3.91793871,5.2124958,.0,3.10926461,3.17577195,28.3661003,2.9316442,.0,71.4649582,.0,.009512,5.35764694,.0,.0,.0,.0,.0,1.30577338,1.59671819,5.37405634,1.38464212,.0,.0,.0,.0,.0,.0,.0,.80427033,105.089119,3.31014585,.0,30.4810181,1.04978228,4.98557043,.0,12.0585604,.0,.0,.0,68.3442459,511.416992,266.738617,1036.74658,152.042053,5.08520889,166.539001,5.85898161,.0,.7490409,4.74784851,.99043208
20918.4238,59.0,.0,.0,3.92263317,.0,.0,.0,.0,.0,240.631439,19.2792072,2.07819605,11.5579386,.0,.0,.67371339,.0,.0,.0,25.8444366,.93836731,.0,41.0642242,4.47914791,23.4573765,.0,.22639117,.0,.28572512,.0,11.9333868,.0,.0,14.0925932,1.0028106,.62895304,4.13545895,.35522929,.0,.0,.0,.0,.0,33.1786461,6.37513208,.0,8.75185966,.0,.0,.0,.33639866,8.64124489,8.71986961,.0,47.5307884,307.381012,87.4347,562.19342,125.027306,9.528409,128.120911,2.61777496,.0,.62170464,1.84254265,.923917
20936.1582,48.0,.0,.0,.0,.0,.0,.0,.0,.0,.97307611,4.28339434,2.15220571,.0,.0,23.2621498,.0,4.44279432,3.93199205,3.95038986,26.9321404,.0,.21647301,230.540405,.0,4.88072062,.0,.0,.0,1.32987368,.0,.0,.0,6.39023685,14.0376177,2.86571789,1.16174483,.0,6.75807476,.0,.0,.0,.0,2.22568607,129.578186,9.84367371,9.576437,.0,.0,.0,12.1290922,.0,8.7853632,9.15183544,.90914536,33.5907593,518.565735,159.313171,793.032959,83.6361694,7.85378551,83.8798981,1.29942238,.0,.55000585,1.27863765,1.07705629
28953.2285,65.0,.0,.0,2.56501842,.78703827,.0,.0,.0,.0,.0,.0,.41514567,1.29607642,.0,9.61175156,.0,4.72269869,.83514923,.90243387,6.94276857,2.57751369,.0,26.695509,.45856136,.0,33.1903114,.0,.43351236,.34118593,.2857343,9.81578255,.0,242.070129,15.863924,4.07521677,.0,.0,.75618011,.0,13.9586935,.0,1.18384564,1.96123683,87.18573,.75908923,11.0444279,49.7474556,4.62607718,1.99804819,.0,.0,4.75809765,4.75371981,.0,61.1711769,406.897949,140.651779,721.633911,70.7974396,5.47902298,38.1870117,5.42454433,.0,.39982373,1.34569323,.97647202
32843.3984,30.0,.0,.0,15.3656597,.0,.0,.0,.0,.0,.27661797,.17310749,.0,.0,.0,18.0680485,.0,4.01512003,2.91719651,2.57769775,5.9776082,.0,6.18254614,95.6290359,.0,.0,.0,.69767082,.0,.0,12.238245,.0,14.3471804,1.81317878,113.635612,2.62824249,.23270337,.0,2.29388332,.0,.0,.0,.16133675,2.04417968,91.8823547,42.3637009,45.3809586,.28983369,.0,.70184892,.0,6.69168711,.0,.0,.0,61.2604713,489.643921,187.805084,838.582153,93.8630676,4.35643625,92.6778793,3.48022223,1.984833,.65487403,2.22851086,1.00973964
37624.7656,36.0,.0,.0,6.55035162,.0,.0,.0,.0,.0,.0,.0,.0,10.8267174,.0,5.15749788,.0,.0,3.71069384,4.41666365,13.5267401,.09654818,1.42286897,58.9649963,.0,1.71918035,.69479579,.0,.0,.0,.0,.0,.4253425,.0,25.4548168,.0,2.94472504,5.99155998,.0,.0,12.0605497,.0,.0,2.40627599,215.996887,4.3338666,2.19656968,10.9540243,.0,1.46602952,12.5599384,6.49899721,.0,.0,.0,55.7625198,454.349701,152.212814,772.002563,129.06694,5.81188107,91.0270081,2.15892458,.0,.61621243,1.11717045,.93808866
45135.6133,34.0,.0,.0,2.05344152,.0,.0,.0,.0,.0,130.035629,8.86337566,3.07222152,.0,.0,1.15952241,.0,.0,.0,.0,9.32565022,.01040077,.0,115.120491,.0,.0,.0,.75376314,2.63699508,.30675524,.0,.0,25.5781517,1.13088477,.0,.54290581,.0,.0,.02946757,.0,.0,.0,1.01662648,.0,58.4461784,7.08508682,.0,.0,.0,.46790254,3.08978629,6.92575932,1.11363995,.29976508,1.73975837,51.1477699,578.381042,230.353683,926.946716,162.493561,7.50376177,125.313774,2.86392379,1.56802869,.66269583,1.50132465,1.07262659
