Time,Event_length,Y89Di,Pd102Di,Viability,Pd104Di,Pd105Di,Pd106Di,Pd108Di,Pd110Di,CD57,In115Di,I127Di,Xe131Di,Cs133Di,Ba138Di,Ce140Di,CD28,CD19,Ce142Di,CD45RA,CD103,CD4,CD8,Perforin,CD16,CD127,CD1c,CD123,CD66b,PD_1,ICOS,CD27,CCR5,Bcl6,Tcf1,CD14,CD56,Dy162Di,CXCR5,CD69,41BB,CD25,CCR7,CD3,Tbet,CD38,CD95,LAG3,CXCR4,HLADR,TIGIT,Lu176Di,GranzymeB,Ta181Di,Os189Di,DNA,Osmium,DNA,CD45_194,CD45_195,CD45_196,CD45_198,Bi209Di,bc_separation_dist,mahalanobis_dist,File Identifier
5149.06201,24.0,.0,.0,4.43928528,.0,.0,.0,.0,.0,.0,.0,.45157748,1.03530359,.0,4.13316298,.0,.0,2.87001514,3.25611997,2.49725032,.92382634,.0,236.711975,.0,3.38277197,2.96968794,2.02576137,.07000131,.58331954,1.85117924,.0316255,19.1966152,.65487826,72.9554977,5.95722055,.0,3.02975535,2.73148274,2.29903007,43.9785004,.0,3.87613225,1.21909189,96.3825226,.0,30.6571236,5.17288446,.0,.0,3.53137589,22.5181599,1.7014432,1.40759599,1.54832017,32.1925125,341.711945,77.5972519,599.047485,4.05598927,44.167717,65.5957031,.0,.0,.55055279,1.30192137,4.08540297
5425.29883,35.0,.0,.36764634,.0,.0,.0,.0,.0,.0,.9994514,.0,.34898278,.0,.0,8.36347866,.0,2.15152645,.0,.0,6.17869186,9.02358818,1.48635185,131.526611,.0,.98620349,50.557869,.32747215,.0,.82735866,4.58537197,7.38532448,2.62466192,27.1560345,5.22063875,.0,.0,.0,7.72400331,1.08390534,104.20182,.0,5.28137636,1.01681352,102.636818,.0,.0,2.39510036,.0,11.4696159,1.26714361,.0,.0,.0,.0,44.0279121,448.421722,144.985214,764.226685,3.44506526,32.2150002,49.7674408,1.06635976,.0,.47462443,1.42077076,3.90916014
8868.28125,42.0,.0,.0,.8770954,.70941502,.0,.0,.0,.0,.20635462,.0,11.5530272,9.93229103,.0,10.3056259,.0,5.43973446,.0,.0,16.2676563,.68152899,1.5986203,62.5795097,.88358754,2.35124159,49.5161781,.0,.0,.0,.0,1.84267068,28.7000275,1.55563664,65.5935516,20.037508,.0,.0,2.9815979,2.35115981,102.556015,.0,4.50198936,6.53426695,33.5355911,3.61562586,.0,2.52423215,3.96749163,18.9190273,.34393528,1.07951558,.0,.0,.42268747,34.3718834,465.997009,136.18689,771.205933,1.71962345,36.2181778,65.5266876,.22617574,1.93092823,.56024921,3.30939651,4.00194216
8941.21094,32.0,.0,.0,7.41383076,.0,.0,.0,.0,.0,.73967749,.0,4.40273428,.59518647,.81518722,3.29270792,.0,.86784476,2.32073402,2.74389529,4.93323803,.0,1.26052845,35.4629822,.0,.0,.0,.0,.0,.0,6.44889307,.29598725,47.0607224,151.522812,53.9633369,1.05524743,5.42635679,.24383083,1.79143846,3.80912232,80.4233017,.0,.0,.00824231,52.2249985,.56067538,32.8140526,36.4947739,.0,13.7602549,3.13803029,.0,119.596466,119.234253,.36911809,32.6322632,377.324707,96.1892166,763.879272,5.70345974,69.6456909,75.3847733,3.15363407,.0,.64250964,.73470128,3.92106605
12783.6465,44.0,.0,.0,6.30033779,.0,.0,.0,.0,.0,32.732769,2.08228683,.0,.0,.0,.0,.0,1.66482711,1.84572399,1.65572691,6.51393652,.0,.3301197,121.540611,.76645023,.0,.0,.0,1.28024673,.0,22.6964302,9.63429356,79.9118958,8.57444191,20.4570313,5.4643507,.0,1.090873,.02808773,1.11947286,50.1302414,.0,.0,.54204667,89.6711044,3.294559,7.32882071,40.8350716,.0,9.48360825,6.31164837,26.101223,.0,.0,2.010535,21.4812508,285.471771,118.066414,508.341003,2.02600241,47.5162239,62.010498,1.40573835,.0,.63190901,1.47568381,4.04324818
15291.5762,25.0,.0,.0,1.86328983,.0,.0,.0,.0,.0,90.064621,9.01048374,3.42662287,.0,.0,11.9010162,.0,10.0293264,.0,.0,3.47655416,.52107263,.0,160.522537,11.4310751,.0,10.8395891,.42494315,.40067041,.47786486,8.91714764,4.62892532,89.1851044,101.74437,74.2520065,4.77164173,6.28428507,1.65186787,7.34993219,.71529287,58.41502,2.03928876,.0,.81811905,70.4973526,4.44961166,4.02786684,42.7121925,6.20350218,15.8529491,1.57590044,22.1025181,1.10188305,1.14498675,.35150796,50.6950035,406.615112,154.235916,704.021362,12.5966864,112.22007,112.908821,.4122541,.0,.63132572,2.80668879,4.06666136
15698.2158,58.0,.0,1.23926401,7.43070269,.0,.0,.0,.0,.0,27.0452423,.0,.0,7.90311289,.0,20.8300629,1.70354295,.0,1.32094884,1.75869453,28.0161285,1.19326496,.42734674,92.1143417,.0,.0,17.7984657,.0,.0,.07984419,5.92107058,.0,40.9162292,.0,44.6943092,3.48063517,.10159703,.00892971,1.79142368,4.19055414,104.450958,.0,.85731149,.0,72.0486679,3.06241107,.0,15.4637756,2.41704559,2.64974666,2.23032022,7.9098835,1.41433084,1.49390519,.0,41.1964645,315.222076,83.4438782,536.312195,.0,77.9011993,66.2248306,4.13289309,1.36122382,.67042428,4.42143965,3.91034412
17015.2988,42.0,.0,1.99435532,.0,.0,.0,.0,.0,.0,.74718916,.0,21.1550655,.0,.86182016,13.8201265,.0,2.85467052,.0,.0,6.4191556,.08422564,1.4546088,170.108627,.83710951,2.00824761,19.4279919,.0,.0,.0,8.04261875,.2903277,68.5697021,.71377611,23.0351906,9.7937994,5.03437614,.0,5.75061321,2.96915984,71.5389481,.0,2.56397891,.0,82.8585434,15.3053465,17.7168407,2.17556024,2.26928663,23.300499,.0,4.40422869,.0,.0,2.6074841,36.1512566,391.946442,102.803581,617.853516,4.76657248,38.4450645,45.1829376,2.67588592,.0,.48928773,.2501922,4.04209089
20017.3047,54.0,.0,.0,2.10878515,.0,.0,.0,.0,.0,.0,.0,3.02161455,8.92060184,.0,6.49692392,.0,.74201941,2.01151085,1.40408242,10.0834141,.7017327,1.88686514,65.7388306,.0,.0,28.0417213,2.68286777,1.52472603,.0,.0,2.96028757,36.702774,.0,44.169796,.0,3.85425234,3.85669899,6.91024542,.86169076,74.698143,.0,2.72923303,4.22393465,76.9771042,.0,.0,34.3908043,2.88216209,10.500761,.80047709,3.56354785,1.59901381,1.68658066,.0,37.3354416,398.294281,120.454926,624.864807,9.15474701,27.7989807,50.4250641,.0,.0,.28391209,2.68675113,3.96873093
23674.6348,33.0,.0,.0,4.80269766,.84612441,.0,.0,.0,.0,.0,1.95854282,.0,.0,.0,9.87026024,.0,4.14318991,.0,.0,18.6753979,.0,5.61979294,105.010101,.0,.0,21.7115898,5.86034203,.0,.0,.0,.0,99.5650406,.0,28.4609413,9.74822807,.0,.0,2.10234332,.0,24.550684,.0,.0,5.67975616,45.7385063,.0,.0,2.80129695,.0,7.81087399,7.47538042,2.61099219,.61237216,.85198516,.0,73.3414307,443.499817,156.710846,834.117981,2.11990261,67.1487808,60.9493752,3.51956487,2.35059977,.66284513,2.19037223,4.07513857
