Time,Event_length,Y89Di,Pd102Di,Viability,Pd104Di,Pd105Di,Pd106Di,Pd108Di,Pd110Di,CD57,In115Di,I127Di,Xe131Di,Cs133Di,Ba138Di,Ce140Di,CD28,CD19,Ce142Di,CD45RA,CD103,CD4,CD8,Perforin,CD16,CD127,CD1c,CD123,CD66b,PD_1,ICOS,CD27,CCR5,Bcl6,Tcf1,CD14,CD56,Dy162Di,CXCR5,CD69,41BB,CD25,CCR7,CD3,Tbet,CD38,CD95,LAG3,CXCR4,HLADR,TIGIT,Lu176Di,GranzymeB,Ta181Di,Os189Di,DNA,Osmium,DNA,CD45_194,CD45_195,CD45_196,CD45_198,Bi209Di,bc_separation_dist,mahalanobis_dist,File Identifier
750.638,25.0,.78969038,.0,6.04727316,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,7.07611465,.0,.39671969,2.21186805,2.08798862,20.0456905,.5387255,.70694184,104.463921,2.09807539,.13169499,.0,1.73963857,.0,.0,1.59023738,.0,.0,5.39684057,45.6659508,1.47170341,.72829157,1.56982803,3.76479125,1.10906613,43.4913063,1.10565376,4.64257336,7.54180145,514.14209,20.863821,5.00961161,17.9962006,1.57697225,139.682022,8.36570835,17.6354408,.70511311,.76670724,.37961972,78.8161163,384.725555,209.694397,647.755554,2.26403785,79.7975311,8.85924244,78.607132,.0,.52843505,2.34443521,9.99748135
1403.68506,31.0,.0,.0,10.0431871,.0,.0,.0,.0,.0,253.841019,15.1468849,6.79237175,3.97549701,.0,11.7911129,.0,1.01855457,.52311611,.46247455,17.997736,.0,.0,98.360672,25.400198,.0,.0,.96539748,.0,.14860293,.0,.0,.0,2.8499825,98.6079636,2.84598422,.0,1.39472806,.0,.0,21.0578747,.0,.19129719,4.3505621,136.208633,103.599808,2.60659504,6.90562391,2.28128624,95.9691086,1.11108768,.11469402,253.369354,253.848694,.10069982,63.5442238,430.910065,118.016945,765.425842,4.70682049,82.5416946,6.71626568,66.7869339,.0,.53050554,2.05170989,9.98215389
2620.42993,87.0,.0,.0,3.72465181,.0,.0,.0,.0,.0,92.5127258,13.5297308,3.45097041,1.22658181,.0,8.78788853,.0,.0,5.94514894,5.86853552,12.6655159,1.11536002,.0,58.2345161,5.55366087,.0,.17417103,.0,.0,.11708799,.0,.10408776,.0,7.81249714,113.719711,2.17620993,1.26486003,4.60451841,.03631486,.0,2.55169177,.0,.05655086,.0,65.3773041,23.1946163,.0,32.0597458,2.34315681,84.6622391,.0,4.96438265,68.5920486,69.0573959,.0,14.5016975,282.259033,121.388046,442.17041,4.72188663,23.5260944,.0,30.1733761,.0,.30586249,1.41284585,9.99090481
5907.83887,29.0,.0,1.16843307,8.38356495,.0,.0,.0,.0,.0,225.81192,8.32586861,8.27485466,.0,.0,.16676822,.0,.0,2.07337856,1.61224985,25.7348652,.0,2.30678296,37.4512978,6.15710783,10.8925409,1.07224882,.0,.77239263,.0,.0,3.80410171,1.84846997,26.6526451,3.71939254,.0,1.57742774,1.40477061,.0,.0,18.067894,.0,7.34881449,.6605528,407.83783,1.90212452,4.49345636,6.41309643,.0,11.6302061,.0,.58718401,5.93490076,5.02521849,1.17901528,53.5358467,531.246582,184.738953,952.304749,2.80114031,118.404556,12.5885344,181.160904,.0,.56957877,5.37131739,10.0293589
5953.26807,42.0,.0,.0,3.8495996,.0,.0,.0,.0,.0,.0,.0,9.0621891,2.55545592,.53503388,2.95548534,.0,.0,1.13230681,.99683261,31.4577904,.0,.0,137.51088,.0,1.36103868,71.7644501,.35510436,.0,1.09804928,.0,5.87419796,7.4151926,72.2421799,14.6078949,1.04647458,.62662286,19.017931,8.46052074,.39781025,18.6925507,.0,.0,.0,30.0131969,2.81695271,1.94272304,.0,.0,82.2218399,5.80046606,1.05996037,7.93695307,7.50910616,.0,67.4562912,449.722778,152.963409,857.457947,5.83047724,105.269997,5.01739264,110.030373,.0,.67247176,1.75258815,10.0354996
6182.17383,39.0,.0,.0,2.06237626,.0,.0,.0,.0,.0,149.630203,16.2066002,2.08013844,3.65520906,.0,5.59514713,.0,.0,.47998717,.57103884,4.14407492,.0,2.6938014,96.2677689,.21424939,2.14678144,1.40798044,.0,1.17084587,1.11338127,.0,9.68062401,.0,60.5996284,17.6332607,.0,3.75173283,2.15364385,.0,2.16574407,9.13229465,.0,.0,5.11497498,89.1046906,3.24197841,11.5870628,26.013546,2.30192471,35.3432732,154.82605,.0,18.8644047,19.052002,2.88158178,34.7207146,373.0914,95.4951248,696.028931,1.93879962,26.2282314,5.73817825,59.1821899,.0,.30877432,7.16575766,9.93392086
9199.11523,31.0,.0,.0,3.10640359,.0,.0,.0,.0,.0,127.679413,12.4977913,.0,.0,.0,10.7280703,.14411627,.0,1.59693694,1.17205036,6.66300726,1.01030612,.0,56.9877205,.7139861,.60928804,13.9754457,.0,.0,.69750905,8.79037189,.13776857,36.5840034,.0,52.2374535,.73577446,.0,.0,5.91583109,1.80725956,4.91471815,.0,.0,.0,73.4001083,13.9784937,1.26814127,15.869297,2.31151342,23.1502724,3.62529135,9.15773773,32.6559105,32.8382568,4.7294817,29.3843594,406.725586,122.931091,658.611816,8.3649559,48.966114,7.28856802,44.4250603,.0,.38699472,.47844058,9.92639542
10666.7451,34.0,.0,.0,4.77544975,.0,.0,.0,.0,.0,28.9295406,2.75487971,.0,.0,.0,11.1152315,.0,5.82973003,.0,.0,6.22276306,.0,3.07350898,218.927277,1.02786314,5.33322954,30.8931255,.99986613,.20160772,.95859659,13.2645807,2.14045548,75.9646759,6.15135908,67.893364,6.56747913,8.6493082,.0,6.28424168,.0,3.1176765,1.23457634,2.34715152,.0,44.3894119,14.9833822,.0,50.8254814,.0,.25627223,7.33589649,10.1367092,2.11884499,1.57421374,5.13785267,51.6778641,453.956573,151.954407,787.596497,18.8808556,118.892372,12.5164309,127.37368,.36933845,.47922963,.79994982,9.98456383
11010.6904,32.0,.0,.0,6.92894983,.0,.0,.0,.0,.0,.0,.0,3.43951964,5.02807379,.0,10.1345396,.0,.0,.0,.0,9.30904102,3.27378106,.98616648,121.244026,.41213578,1.51671827,.0,.0,.0,.0,.0,2.83139133,.9236179,.0,17.3967896,2.23379517,.0251663,.0,1.71965075,4.00747776,29.1173553,7.64630032,6.21407604,.0,291.628845,2.85926652,.0584886,26.7919521,1.7242105,13.9083366,.0,12.8571892,1.47137845,2.34249473,.63015956,49.4131813,427.423798,125.230202,681.797363,8.70957088,74.4368973,3.9092443,87.7485352,.0,.51689816,.91642648,9.94410801
13049.583,51.0,1.39555991,.0,109.39679,.0,.0,.0,.0,.0,46.2341766,1.09224379,27.6852551,2.73051548,.0,54.7013779,10.7486544,5.5546174,.06841463,.62918139,27.6776237,6.44219589,.0,52.7554512,3.68441057,8.90816879,9.76209736,.47907647,.0,5.70963144,.0,4.13695669,.0,9.26509094,78.0117645,1.34293735,2.4317317,4.46599817,5.64176893,.72479612,6.74879551,.02766506,.50578642,2.79404211,99.9798508,32.6235542,6.98526049,26.9264374,3.14379907,132.966583,142.423508,.59498841,30.3754787,30.2867813,4.65661812,137.831772,702.033691,408.280334,1341.65112,.0,65.8066635,5.04717302,84.5305634,.58084208,.56533223,3.27233195,9.95886326
