Time,Event_length,Y89Di,Pd102Di,Viability,Pd104Di,Pd105Di,Pd106Di,Pd108Di,Pd110Di,CD57,In115Di,I127Di,Xe131Di,Cs133Di,Ba138Di,Ce140Di,CD28,CD19,Ce142Di,CD45RA,CD103,CD4,CD8,Perforin,CD16,CD127,CD1c,CD123,CD66b,PD_1,ICOS,CD27,CCR5,Bcl6,Tcf1,CD14,CD56,Dy162Di,CXCR5,CD69,41BB,CD25,CCR7,CD3,Tbet,CD38,CD95,LAG3,CXCR4,HLADR,TIGIT,Lu176Di,GranzymeB,Ta181Di,Os189Di,DNA,Osmium,DNA,CD45_194,CD45_195,CD45_196,CD45_198,Bi209Di,bc_separation_dist,mahalanobis_dist,File Identifier
968.281006,41.0,2.01158619,.0,8.31765842,.0,.0,.0,.0,.0,106.965019,3.73398423,.0,.0,.0,4.79030228,4.15379524,.0,.0,.0,6.49519539,.0,.0,145.52063,.31130588,.0,.0,2.31686687,.29988238,.0,8.24060535,4.55516863,24.048439,16.3509007,40.9915466,5.95999002,.0,1.11514342,6.06827164,.0,3.61514759,.0,1.92436445,2.0640502,123.931625,16.8953629,6.10122871,20.1333656,.80322367,9.58158207,.0,17.7916374,66.0251389,66.2681351,.22340541,43.1288643,378.392761,127.84639,779.966553,94.6397018,9.106987,3.76781106,50.3444595,.0,.39816725,2.37071776,6.93862534
8389.79199,59.0,.63651162,.0,38.2497025,.0,.0,.0,.0,.0,206.133575,6.63719273,13.6253853,.0,.0,40.3771095,.0,5.18427086,5.58007908,5.04503059,4.92985678,.0,2.73346949,145.857742,8.16493702,3.27424812,.0,.0,1.39307654,.0,.22605664,7.50178385,12.4357576,33.3358383,132.564423,.0,9.70424747,7.37297916,.0,.0,11.2573776,2.01188397,7.04263973,4.86755466,228.95137,47.1498337,151.979156,77.3045349,.0,10.6287584,115.29071,12.0108509,58.490551,58.3477516,1.28764045,72.0207672,529.894653,220.72258,960.339233,229.425995,15.8945951,12.4705877,191.900208,3.82271361,.63734186,1.71235693,6.92549133
10479.8438,43.0,.0,.0,.0,.0,.0,.0,.0,.0,238.008286,21.5893822,.0,.0,.0,4.68252754,.0,.0,3.06030822,2.94349623,19.4871674,5.2391696,.42943323,96.5911331,.92874908,3.08825088,.0,7.10709572,.0,.0,.03410262,17.7839603,1.7600168,7.32838202,58.2188683,.0,.0,.0,.05006631,1.31313848,1.24097466,.0,.0,.0,81.8644028,69.5714569,.0,9.30021191,.44974005,18.4386349,1.16563404,6.33873129,53.6195335,53.5210075,.0,50.1089783,368.61676,152.325867,772.476318,113.938309,8.45839977,18.4816513,93.2039032,2.46115923,.41201442,1.48182416,6.96987295
38938.7773,49.0,1.74384987,.0,2.2837193,.0,.0,.0,.0,.0,139.913345,7.42278004,.0,5.13919687,.0,20.7925491,.02073969,1.7928673,.0,.0,32.3728447,.0,.0,91.732933,6.03084803,1.29065514,.0,.0,.0,2.87902212,.0,.31823894,.0,.0,62.84589,.31179756,2.22896552,.16677319,4.91321898,.0,.0,.0,.28072995,.07190173,140.149292,48.1444244,4.77242756,24.5573578,.0,23.6916142,8.08729172,.0,117.629967,118.267853,1.74304974,35.4267845,360.196228,120.683952,638.098267,92.9877319,7.48074484,7.32315111,70.1249847,.0,.5179342,.2966204,6.96892262
55482.9297,69.0,.0,.0,.23779191,.0,.0,.0,.0,.0,.0,.42054507,2.35045934,6.88796425,.0,8.49572945,.0,.0,.62144893,.75823992,17.4430161,56.5875587,3.42043424,177.578674,2.67161822,.0,52.9989281,.32578781,.0,1.09450507,.46383965,1.41515315,39.4722099,.55075788,77.2399673,13.0176172,.0,4.25075531,1.97130525,.0,7.43416643,2.35266852,.0,7.44491243,264.060272,18.1991425,.0,10.146389,1.15349245,37.7746201,.0,.52017021,7.3422823,8.18409157,1.32399964,49.6222115,350.368256,125.113113,665.219482,110.952675,5.4694066,8.56931305,74.228508,.0,.51036155,.81207949,6.98174858
72102.2891,63.0,.0,.0,5.60312891,.0,.0,.0,.0,.0,22.2746582,.0,.0,5.71456909,.0,9.64169598,.0,.67585415,.18348393,.82916051,30.6294708,5.2972064,.0,172.143326,5.37796831,1.17632449,2.18104649,.0,1.60855579,.0,.0,1.88860905,.0,4.18240786,31.7499332,1.26030374,6.92093801,.66848773,.77246994,.0,.0,.0,.0,2.56539965,247.386887,56.706955,.24590953,12.6001034,1.21841466,6.18234873,13.143961,.0,9.0650692,8.88873959,.0,46.3834381,424.842957,155.247437,881.54303,126.363808,10.2455931,10.7739773,147.025726,.0,.60856003,2.6035893,7.08712626
73943.7344,43.0,.0,.0,3.02331853,.0,.0,.0,.0,.0,40.8420792,3.70978498,.0,.0,2.45345879,5.07224607,.0,2.34440279,.0,.0,4.10628271,.0,.0,53.0623779,.0,1.47433639,5.5928421,.0,.78453785,.04820452,.0,1.84172022,5.18534565,11.22015,49.4242477,8.39509964,.0,.0,.71113366,.0,.44979089,.29568067,1.04770505,7.95756865,127.452881,28.0211277,.0,25.7591743,.0,22.9866543,3.28097463,2.60390878,31.0768738,30.5699062,.0,46.1280861,387.336029,106.885315,642.074951,105.485657,4.54399347,8.13476849,72.7642365,.0,.51396871,.91700602,7.0169034
88050.2578,43.0,.0,.0,4.33477116,.0,.0,.0,.0,.0,.0,.0,4.46137857,.77098221,.0,10.0013447,.13640817,14.3952808,8.00455379,7.72846889,20.1593552,.05052043,1.63963711,80.1532822,3.42108369,1.68029118,20.7324562,4.01134109,.58744889,.0,.0,1.90849721,29.8195152,40.2485847,139.332581,12.8449059,2.40026236,2.37631154,.0,.10033002,9.91017056,.0,.0,.7518003,121.065178,32.2050934,4.29089117,16.6633701,.35913521,8.15709496,.0,.0,.66897178,.10105554,.0,38.682003,409.244598,126.744926,600.901672,88.582901,12.999814,7.72706652,46.5840645,.0,.30867708,2.19290376,6.95515251
109826.977,65.0,.0,.0,6.43372965,1.05874979,.0,.0,.0,.0,14.3783693,.0,.0,2.42958426,.0,8.06262302,.0,5.80288744,.0,.0,4.22618103,9.62607098,.0,152.795105,.31657261,.64091635,59.440033,1.90050006,.0,.41876262,1.58005941,3.76254749,53.3918266,10.9665756,92.9089127,13.4566078,4.82961369,.0,.0,.0,4.13780785,.0,.0,8.29602146,69.8375778,17.2731647,.0,24.0062561,.0,23.8006897,4.54598236,10.2824965,5.00266123,5.79129362,.0,43.8545685,299.906128,121.229492,584.846802,65.3313675,5.23436785,4.02320766,67.3404541,.0,.54960072,1.23368013,7.00007772
120012.758,59.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,.0,1.28010929,.0,.0,.0,.0,10.7398758,.0,1.79736221,32.2770233,.0,.0,.0,1.33671069,.09701058,.0,.0,.0,.0,.50157857,14.7036943,.0,.0,4.69236803,9.63465118,.0,.93390381,.0,.0,4.59616852,264.953857,20.926981,2.37546468,14.7245846,.0,10.23349,17.2777596,15.6827078,1.58089638,2.21990418,.0,53.0418777,301.009918,96.4498215,590.200256,50.7273598,7.5579133,6.5659771,43.6658096,.55549282,.39282468,.1308848,7.08592796
